Datum;BV;;;;;;;;;;
2017-05-19;82.792.351;;;;;;;;;;
2017-05-20;82.792.351;;;;;;;;;;
2017-05-21;82.792.351;;;;;;;;;;
2017-05-22;82.792.351;;;;;;;;;;
2017-05-23;82.792.351;;;;;;;;;;
2017-05-24;82.792.351;;;;;;;;;;
2017-05-25;82.792.351;;;;;;;;;;
2017-05-26;82.792.351;;;;;;;;;;
2017-05-27;82.792.351;;;;;;;;;;
2017-05-28;82.792.351;;;;;;;;;;
2017-05-29;82.792.351;;;;;;;;;;
2017-05-30;82.792.351;;;;;;;;;;
2017-05-31;82.792.351;;;;;;;;;;
2017-06-01;82.792.351;;;;;;;;;;
2017-06-02;82.792.351;;;;;;;;;;
2017-06-03;82.792.351;;;;;;;;;;
2017-06-04;82.792.351;;;;;;;;;;
2017-06-05;82.792.351;;;;;;;;;;
2017-06-06;82.792.351;;;;;;;;;;
2017-06-07;82.792.351;;;;;;;;;;
2017-06-08;82.792.351;;;;;;;;;;
2017-06-09;82.792.351;;;;;;;;;;
2017-06-10;82.792.351;;;;;;;;;;
2017-06-11;82.792.351;;;;;;;;;;
2017-06-12;82.792.351;;;;;;;;;;
2017-06-13;82.792.351;;;;;;;;;;
2017-06-14;82.792.351;;;;;;;;;;
2017-06-15;82.792.351;;;;;;;;;;
2017-06-16;82.792.351;;;;;;;;;;
2017-06-17;82.792.351;;;;;;;;;;
2017-06-18;82.792.351;;;;;;;;;;
2017-06-19;82.792.351;;;;;;;;;;
2017-06-20;82.792.351;;;;;;;;;;
2017-06-21;82.792.351;;;;;;;;;;
2017-06-22;82.792.351;;;;;;;;;;
2017-06-23;82.792.351;;;;;;;;;;
2017-06-24;82.792.351;;;;;;;;;;
2017-06-25;82.792.351;;;;;;;;;;
2017-06-26;82.792.351;;;;;;;;;;
2017-06-27;82.792.351;;;;;;;;;;
2017-06-28;82.792.351;;;;;;;;;;
2017-06-29;82.792.351;;;;;;;;;;
2017-06-30;82.792.351;;;;;;;;;;
2017-07-01;82.792.351;;;;;;;;;;
2017-07-02;82.792.351;;;;;;;;;;
2017-07-03;82.792.351;;;;;;;;;;
2017-07-04;82.792.351;;;;;;;;;;
2017-07-05;82.792.351;;;;;;;;;;
2017-07-06;82.792.351;;;;;;;;;;
2017-07-07;82.792.351;;;;;;;;;;
2017-07-08;82.792.351;;;;;;;;;;
2017-07-09;82.792.351;;;;;;;;;;
2017-07-10;82.792.351;;;;;;;;;;
2017-07-11;82.792.351;;;;;;;;;;
2017-07-12;82.792.351;;;;;;;;;;
2017-07-13;82.792.351;;;;;;;;;;
2017-07-14;82.792.351;;;;;;;;;;
2017-07-15;82.792.351;;;;;;;;;;
2017-07-16;82.792.351;;;;;;;;;;
2017-07-17;82.792.351;;;;;;;;;;
2017-07-18;82.792.351;;;;;;;;;;
2017-07-19;82.792.351;;;;;;;;;;
2017-07-20;82.792.351;;;;;;;;;;
2017-07-21;82.792.351;;;;;;;;;;
2017-07-22;82.792.351;;;;;;;;;;
2017-07-23;82.792.351;;;;;;;;;;
2017-07-24;82.792.351;;;;;;;;;;
2017-07-25;82.792.351;;;;;;;;;;
2017-07-26;82.792.351;;;;;;;;;;
2017-07-27;82.792.351;;;;;;;;;;
2017-07-28;82.792.351;;;;;;;;;;
2017-07-29;82.792.351;;;;;;;;;;
