Datum;BV;;;;;;;;;;
2018-08-28;83.019.213;;;;;;;;;;
2018-08-29;83.019.213;;;;;;;;;;
2018-08-30;83.019.213;;;;;;;;;;
2018-08-31;83.019.213;;;;;;;;;;
2018-09-01;83.019.213;;;;;;;;;;
2018-09-02;83.019.213;;;;;;;;;;
2018-09-03;83.019.213;;;;;;;;;;
2018-09-04;83.019.213;;;;;;;;;;
2018-09-05;83.019.213;;;;;;;;;;
2018-09-06;83.019.213;;;;;;;;;;
2018-09-07;83.019.213;;;;;;;;;;
2018-09-08;83.019.213;;;;;;;;;;
2018-09-09;83.019.213;;;;;;;;;;
2018-09-10;83.019.213;;;;;;;;;;
2018-09-11;83.019.213;;;;;;;;;;
2018-09-12;83.019.213;;;;;;;;;;
2018-09-13;83.019.213;;;;;;;;;;
2018-09-14;83.019.213;;;;;;;;;;
2018-09-15;83.019.213;;;;;;;;;;
2018-09-16;83.019.213;;;;;;;;;;
2018-09-17;83.019.213;;;;;;;;;;
2018-09-18;83.019.213;;;;;;;;;;
2018-09-19;83.019.213;;;;;;;;;;
2018-09-20;83.019.213;;;;;;;;;;
2018-09-21;83.019.213;;;;;;;;;;
2018-09-22;83.019.213;;;;;;;;;;
2018-09-23;83.019.213;;;;;;;;;;
2018-09-24;83.019.213;;;;;;;;;;
2018-09-25;83.019.213;;;;;;;;;;
2018-09-26;83.019.213;;;;;;;;;;
2018-09-27;83.019.213;;;;;;;;;;
2018-09-28;83.019.213;;;;;;;;;;
2018-09-29;83.019.213;;;;;;;;;;
2018-09-30;83.019.213;;;;;;;;;;
2018-10-01;83.019.213;;;;;;;;;;
2018-10-02;83.019.213;;;;;;;;;;
2018-10-03;83.019.213;;;;;;;;;;
2018-10-04;83.019.213;;;;;;;;;;
2018-10-05;83.019.213;;;;;;;;;;
2018-10-06;83.019.213;;;;;;;;;;
2018-10-07;83.019.213;;;;;;;;;;
2018-10-08;83.019.213;;;;;;;;;;
2018-10-09;83.019.213;;;;;;;;;;
2018-10-10;83.019.213;;;;;;;;;;
2018-10-11;83.019.213;;;;;;;;;;
2018-10-12;83.019.213;;;;;;;;;;
2018-10-13;83.019.213;;;;;;;;;;
2018-10-14;83.019.213;;;;;;;;;;
2018-10-15;83.019.213;;;;;;;;;;
2018-10-16;83.019.213;;;;;;;;;;
2018-10-17;83.019.213;;;;;;;;;;
2018-10-18;83.019.213;;;;;;;;;;
2018-10-19;83.019.213;;;;;;;;;;
2018-10-20;83.019.213;;;;;;;;;;
2018-10-21;83.019.213;;;;;;;;;;
2018-10-22;83.019.213;;;;;;;;;;
2018-10-23;83.019.213;;;;;;;;;;
2018-10-24;83.019.213;;;;;;;;;;
2018-10-25;83.019.213;;;;;;;;;;
2018-10-26;83.019.213;;;;;;;;;;
2018-10-27;83.019.213;;;;;;;;;;
2018-10-28;83.019.213;;;;;;;;;;
2018-10-29;83.019.213;;;;;;;;;;
2018-10-30;83.019.213;;;;;;;;;;
2018-10-31;83.019.213;;;;;;;;;;
2018-11-01;83.019.213;;;;;;;;;;
2018-11-02;83.019.213;;;;;;;;;;
2018-11-03;83.019.213;;;;;;;;;;
2018-11-04;83.019.213;;;;;;;;;;
2018-11-05;83.019.213;;;;;;;;;;
2018-11-06;83.019.213;;;;;;;;;;
2018-11-07;83.019.213;;;;;;;;;;
2018-11-08;83.019.213;;;;;;;;;;
2018-11-09;83.019.213;;;;;;;;;;
2018-11-10;83.019.213;;;;;;;;;;
2018-11-11;83.019.213;;;;;;;;;;
2018-11-12;83.019.213;;;;;;;;;;
2018-11-13;83.019.213;;;;;;;;;;
2018-11-14;83.019.213;;;;;;;;;;
2018-11-15;83.019.213;;;;;;;;;;
2018-11-16;83.019.213;;;;;;;;;;
2018-11-17;83.019.213;;;;;;;;;;
2018-11-18;83.019.213;;;;;;;;;;
2018-11-19;83.019.213;;;;;;;;;;
2018-11-20;83.019.213;;;;;;;;;;
2018-11-21;83.019.213;;;;;;;;;;
2018-11-22;83.019.213;;;;;;;;;;
2018-11-23;83.019.213;;;;;;;;;;
2018-11-24;83.019.213;;;;;;;;;;
2018-11-25;83.019.213;;;;;;;;;;
2018-11-26;83.019.213;;;;;;;;;;
2018-11-27;83.019.213;;;;;;;;;;
2018-11-28;83.019.213;;;;;;;;;;
2018-11-29;83.019.213;;;;;;;;;;
2018-11-30;83.019.213;;;;;;;;;;
2018-12-01;83.019.213;;;;;;;;;;
2018-12-02;83.019.213;;;;;;;;;;
2018-12-03;83.019.213;;;;;;;;;;
2018-12-04;83.019.213;;;;;;;;;;
2018-12-05;83.019.213;;;;;;;;;;
2018-12-06;83.019.213;;;;;;;;;;
2018-12-07;83.019.213;;;;;;;;;;
2018-12-08;83.019.213;;;;;;;;;;
2018-12-09;83.019.213;;;;;;;;;;
2018-12-10;83.019.213;;;;;;;;;;
2018-12-11;83.019.213;;;;;;;;;;
2018-12-12;83.019.213;;;;;;;;;;
2018-12-13;83.019.213;;;;;;;;;;
2018-12-14;83.019.213;;;;;;;;;;
2018-12-15;83.019.213;;;;;;;;;;
2018-12-16;83.019.213;;;;;;;;;;
2018-12-17;83.019.213;;;;;;;;;;
2018-12-18;83.019.213;;;;;;;;;;
2018-12-19;83.019.213;;;;;;;;;;
2018-12-20;83.019.213;;;;;;;;;;
2018-12-21;83.019.213;;;;;;;;;;
2018-12-22;83.019.213;;;;;;;;;;
2018-12-23;83.019.213;;;;;;;;;;
2018-12-24;83.019.213;;;;;;;;;;
2018-12-25;83.019.213;;;;;;;;;;
2018-12-26;83.019.213;;;;;;;;;;
2018-12-27;83.019.213;;;;;;;;;;
2018-12-28;83.019.213;;;;;;;;;;
2018-12-29;83.019.213;;;;;;;;;;
2018-12-30;83.019.213;;;;;;;;;;
2018-12-31;83.019.213;;;;;;;;;;
2019-01-01;83.166.711;;;;;;;;;;
2019-01-02;83.166.711;;;;;;;;;;
2019-01-03;83.166.711;;;;;;;;;;
2019-01-04;83.166.711;;;;;;;;;;
2019-01-05;83.166.711;;;;;;;;;;
2019-01-06;83.166.711;;;;;;;;;;
2019-01-07;83.166.711;;;;;;;;;;
2019-01-08;83.166.711;;;;;;;;;;
2019-01-09;83.166.711;;;;;;;;;;
2019-01-10;83.166.711;;;;;;;;;;
2019-01-11;83.166.711;;;;;;;;;;
2019-01-12;83.166.711;;;;;;;;;;
2019-01-13;83.166.711;;;;;;;;;;
2019-01-14;83.166.711;;;;;;;;;;
2019-01-15;83.166.711;;;;;;;;;;
2019-01-16;83.166.711;;;;;;;;;;
2019-01-17;83.166.711;;;;;;;;;;
2019-01-18;83.166.711;;;;;;;;;;
2019-01-19;83.166.711;;;;;;;;;;
2019-01-20;83.166.711;;;;;;;;;;
2019-01-21;83.166.711;;;;;;;;;;
2019-01-22;83.166.711;;;;;;;;;;
2019-01-23;83.166.711;;;;;;;;;;
2019-01-24;83.166.711;;;;;;;;;;
2019-01-25;83.166.711;;;;;;;;;;
2019-01-26;83.166.711;;;;;;;;;;
2019-01-27;83.166.711;;;;;;;;;;
2019-01-28;83.166.711;;;;;;;;;;
2019-01-29;83.166.711;;;;;;;;;;
2019-01-30;83.166.711;;;;;;;;;;
2019-01-31;83.166.711;;;;;;;;;;
2019-02-01;83.166.711;;;;;;;;;;
2019-02-02;83.166.711;;;;;;;;;;
2019-02-03;83.166.711;;;;;;;;;;
2019-02-04;83.166.711;;;;;;;;;;
2019-02-05;83.166.711;;;;;;;;;;
2019-02-06;83.166.711;;;;;;;;;;
2019-02-07;83.166.711;;;;;;;;;;
2019-02-08;83.166.711;;;;;;;;;;
2019-02-09;83.166.711;;;;;;;;;;
2019-02-10;83.166.711;;;;;;;;;;
2019-02-11;83.166.711;;;;;;;;;;
2019-02-12;83.166.711;;;;;;;;;;
2019-02-13;83.166.711;;;;;;;;;;
2019-02-14;83.166.711;;;;;;;;;;
2019-02-15;83.166.711;;;;;;;;;;
2019-02-16;83.166.711;;;;;;;;;;
2019-02-17;83.166.711;;;;;;;;;;
2019-02-18;83.166.711;;;;;;;;;;
2019-02-19;83.166.711;;;;;;;;;;
2019-02-20;83.166.711;;;;;;;;;;
2019-02-21;83.166.711;;;;;;;;;;
2019-02-22;83.166.711;;;;;;;;;;
2019-02-23;83.166.711;;;;;;;;;;
2019-02-24;83.166.711;;;;;;;;;;
2019-02-25;83.166.711;;;;;;;;;;
2019-02-26;83.166.711;;;;;;;;;;
2019-02-27;83.166.711;;;;;;;;;;
2019-02-28;83.166.711;;;;;;;;;;
2019-03-01;83.166.711;;;;;;;;;;
2019-03-02;83.166.711;;;;;;;;;;
2019-03-03;83.166.711;;;;;;;;;;
2019-03-04;83.166.711;;;;;;;;;;
2019-03-05;83.166.711;;;;;;;;;;
2019-03-06;83.166.711;;;;;;;;;;
2019-03-07;83.166.711;;;;;;;;;;
2019-03-08;83.166.711;;;;;;;;;;
2019-03-09;83.166.711;;;;;;;;;;
2019-03-10;83.166.711;;;;;;;;;;
2019-03-11;83.166.711;;;;;;;;;;
2019-03-12;83.166.711;;;;;;;;;;
2019-03-13;83.166.711;;;;;;;;;;
2019-03-14;83.166.711;;;;;;;;;;
2019-03-15;83.166.711;;;;;;;;;;
2019-03-16;83.166.711;;;;;;;;;;
2019-03-17;83.166.711;;;;;;;;;;
2019-03-18;83.166.711;;;;;;;;;;
2019-03-19;83.166.711;;;;;;;;;;
2019-03-20;83.166.711;;;;;;;;;;
2019-03-21;83.166.711;;;;;;;;;;
2019-03-22;83.166.711;;;;;;;;;;
2019-03-23;83.166.711;;;;;;;;;;
2019-03-24;83.166.711;;;;;;;;;;
2019-03-25;83.166.711;;;;;;;;;;
2019-03-26;83.166.711;;;;;;;;;;
2019-03-27;83.166.711;;;;;;;;;;
2019-03-28;83.166.711;;;;;;;;;;
2019-03-29;83.166.711;;;;;;;;;;
2019-03-30;83.166.711;;;;;;;;;;
2019-03-31;83.166.711;;;;;;;;;;
2019-04-01;83.166.711;;;;;;;;;;
2019-04-02;83.166.711;;;;;;;;;;
2019-04-03;83.166.711;;;;;;;;;;
2019-04-04;83.166.711;;;;;;;;;;
2019-04-05;83.166.711;;;;;;;;;;
2019-04-06;83.166.711;;;;;;;;;;
2019-04-07;83.166.711;;;;;;;;;;
2019-04-08;83.166.711;;;;;;;;;;
2019-04-09;83.166.711;;;;;;;;;;
2019-04-10;83.166.711;;;;;;;;;;
2019-04-11;83.166.711;;;;;;;;;;
2019-04-12;83.166.711;;;;;;;;;;
2019-04-13;83.166.711;;;;;;;;;;
2019-04-14;83.166.711;;;;;;;;;;
2019-04-15;83.166.711;;;;;;;;;;
2019-04-16;83.166.711;;;;;;;;;;
2019-04-17;83.166.711;;;;;;;;;;
2019-04-18;83.166.711;;;;;;;;;;
2019-04-19;83.166.711;;;;;;;;;;
2019-04-20;83.166.711;;;;;;;;;;
2019-04-21;83.166.711;;;;;;;;;;
2019-04-22;83.166.711;;;;;;;;;;
2019-04-23;83.166.711;;;;;;;;;;
2019-04-24;83.166.711;;;;;;;;;;
2019-04-25;83.166.711;;;;;;;;;;
2019-04-26;83.166.711;;;;;;;;;;
2019-04-27;83.166.711;;;;;;;;;;
2019-04-28;83.166.711;;;;;;;;;;
2019-04-29;83.166.711;;;;;;;;;;
2019-04-30;83.166.711;;;;;;;;;;
2019-05-01;83.166.711;;;;;;;;;;
2019-05-02;83.166.711;;;;;;;;;;
2019-05-03;83.166.711;;;;;;;;;;
2019-05-04;83.166.711;;;;;;;;;;
2019-05-05;83.166.711;;;;;;;;;;
2019-05-06;83.166.711;;;;;;;;;;
2019-05-07;83.166.711;;;;;;;;;;
2019-05-08;83.166.711;;;;;;;;;;
2019-05-09;83.166.711;;;;;;;;;;
2019-05-10;83.166.711;;;;;;;;;;
2019-05-11;83.166.711;;;;;;;;;;
2019-05-12;83.166.711;;;;;;;;;;
2019-05-13;83.166.711;;;;;;;;;;
2019-05-14;83.166.711;;;;;;;;;;
2019-05-15;83.166.711;;;;;;;;;;
2019-05-16;83.166.711;;;;;;;;;;
2019-05-17;83.166.711;;;;;;;;;;
2019-05-18;83.166.711;;;;;;;;;;
2019-05-19;83.166.711;;;;;;;;;;
2019-05-20;83.166.711;;;;;;;;;;
2019-05-21;83.166.711;;;;;;;;;;
2019-05-22;83.166.711;;;;;;;;;;
2019-05-23;83.166.711;;;;;;;;;;
2019-05-24;83.166.711;;;;;;;;;;
2019-05-25;83.166.711;;;;;;;;;;
2019-05-26;83.166.711;;;;;;;;;;
2019-05-27;83.166.711;;;;;;;;;;
2019-05-28;83.166.711;;;;;;;;;;
2019-05-29;83.166.711;;;;;;;;;;
2019-05-30;83.166.711;;;;;;;;;;
2019-05-31;83.166.711;;;;;;;;;;
2019-06-01;83.166.711;;;;;;;;;;
2019-06-02;83.166.711;;;;;;;;;;
2019-06-03;83.166.711;;;;;;;;;;
2019-06-04;83.166.711;;;;;;;;;;
2019-06-05;83.166.711;;;;;;;;;;
2019-06-06;83.166.711;;;;;;;;;;
2019-06-07;83.166.711;;;;;;;;;;
2019-06-08;83.166.711;;;;;;;;;;
2019-06-09;83.166.711;;;;;;;;;;
2019-06-10;83.166.711;;;;;;;;;;
2019-06-11;83.166.711;;;;;;;;;;
2019-06-12;83.166.711;;;;;;;;;;
2019-06-13;83.166.711;;;;;;;;;;
2019-06-14;83.166.711;;;;;;;;;;
2019-06-15;83.166.711;;;;;;;;;;
2019-06-16;83.166.711;;;;;;;;;;
2019-06-17;83.166.711;;;;;;;;;;
2019-06-18;83.166.711;;;;;;;;;;
2019-06-19;83.166.711;;;;;;;;;;
2019-06-20;83.166.711;;;;;;;;;;
2019-06-21;83.166.711;;;;;;;;;;
2019-06-22;83.166.711;;;;;;;;;;
2019-06-23;83.166.711;;;;;;;;;;
2019-06-24;83.166.711;;;;;;;;;;
2019-06-25;83.166.711;;;;;;;;;;
2019-06-26;83.166.711;;;;;;;;;;
2019-06-27;83.166.711;;;;;;;;;;
2019-06-28;83.166.711;;;;;;;;;;
2019-06-29;83.166.711;;;;;;;;;;
2019-06-30;83.166.711;;;;;;;;;;
2019-07-01;83.166.711;;;;;;;;;;
2019-07-02;83.166.711;;;;;;;;;;
2019-07-03;83.166.711;;;;;;;;;;
2019-07-04;83.166.711;;;;;;;;;;
2019-07-05;83.166.711;;;;;;;;;;
2019-07-06;83.166.711;;;;;;;;;;
2019-07-07;83.166.711;;;;;;;;;;
2019-07-08;83.166.711;;;;;;;;;;
2019-07-09;83.166.711;;;;;;;;;;
2019-07-10;83.166.711;;;;;;;;;;
2019-07-11;83.166.711;;;;;;;;;;
2019-07-12;83.166.711;;;;;;;;;;
2019-07-13;83.166.711;;;;;;;;;;
2019-07-14;83.166.711;;;;;;;;;;
2019-07-15;83.166.711;;;;;;;;;;
2019-07-16;83.166.711;;;;;;;;;;
2019-07-17;83.166.711;;;;;;;;;;
2019-07-18;83.166.711;;;;;;;;;;
2019-07-19;83.166.711;;;;;;;;;;
2019-07-20;83.166.711;;;;;;;;;;
2019-07-21;83.166.711;;;;;;;;;;
2019-07-22;83.166.711;;;;;;;;;;
2019-07-23;83.166.711;;;;;;;;;;
2019-07-24;83.166.711;;;;;;;;;;
2019-07-25;83.166.711;;;;;;;;;;
2019-07-26;83.166.711;;;;;;;;;;
2019-07-27;83.166.711;;;;;;;;;;
2019-07-28;83.166.711;;;;;;;;;;
2019-07-29;83.166.711;;;;;;;;;;
2019-07-30;83.166.711;;;;;;;;;;
2019-07-31;83.166.711;;;;;;;;;;
2019-08-01;83.166.711;;;;;;;;;;
2019-08-02;83.166.711;;;;;;;;;;
2019-08-03;83.166.711;;;;;;;;;;
2019-08-04;83.166.711;;;;;;;;;;
2019-08-05;83.166.711;;;;;;;;;;
2019-08-06;83.166.711;;;;;;;;;;
2019-08-07;83.166.711;;;;;;;;;;
2019-08-08;83.166.711;;;;;;;;;;
2019-08-09;83.166.711;;;;;;;;;;
2019-08-10;83.166.711;;;;;;;;;;
2019-08-11;83.166.711;;;;;;;;;;
2019-08-12;83.166.711;;;;;;;;;;
2019-08-13;83.166.711;;;;;;;;;;
2019-08-14;83.166.711;;;;;;;;;;
2019-08-15;83.166.711;;;;;;;;;;
2019-08-16;83.166.711;;;;;;;;;;
2019-08-17;83.166.711;;;;;;;;;;
2019-08-18;83.166.711;;;;;;;;;;
2019-08-19;83.166.711;;;;;;;;;;
2019-08-20;83.166.711;;;;;;;;;;
2019-08-21;83.166.711;;;;;;;;;;
2019-08-22;83.166.711;;;;;;;;;;
2019-08-23;83.166.711;;;;;;;;;;
2019-08-24;83.166.711;;;;;;;;;;
2019-08-25;83.166.711;;;;;;;;;;
2019-08-26;83.166.711;;;;;;;;;;
2019-08-27;83.166.711;;;;;;;;;;
2019-08-28;83.166.711;;;;;;;;;;
2019-08-29;83.166.711;;;;;;;;;;
2019-08-30;83.166.711;;;;;;;;;;
2019-08-31;83.166.711;;;;;;;;;;
2019-09-01;83.166.711;;;;;;;;;;
2019-09-02;83.166.711;;;;;;;;;;
2019-09-03;83.166.711;;;;;;;;;;
2019-09-04;83.166.711;;;;;;;;;;
2019-09-05;83.166.711;;;;;;;;;;
2019-09-06;83.166.711;;;;;;;;;;
2019-09-07;83.166.711;;;;;;;;;;
2019-09-08;83.166.711;;;;;;;;;;
2019-09-09;83.166.711;;;;;;;;;;
2019-09-10;83.166.711;;;;;;;;;;
2019-09-11;83.166.711;;;;;;;;;;
2019-09-12;83.166.711;;;;;;;;;;
2019-09-13;83.166.711;;;;;;;;;;
2019-09-14;83.166.711;;;;;;;;;;
2019-09-15;83.166.711;;;;;;;;;;
2019-09-16;83.166.711;;;;;;;;;;
2019-09-17;83.166.711;;;;;;;;;;
2019-09-18;83.166.711;;;;;;;;;;
2019-09-19;83.166.711;;;;;;;;;;
2019-09-20;83.166.711;;;;;;;;;;
2019-09-21;83.166.711;;;;;;;;;;
2019-09-22;83.166.711;;;;;;;;;;
2019-09-23;83.166.711;;;;;;;;;;
2019-09-24;83.166.711;;;;;;;;;;
2019-09-25;83.166.711;;;;;;;;;;
2019-09-26;83.166.711;;;;;;;;;;
2019-09-27;83.166.711;;;;;;;;;;
2019-09-28;83.166.711;;;;;;;;;;
2019-09-29;83.166.711;;;;;;;;;;
2019-09-30;83.166.711;;;;;;;;;;
2019-10-01;83.166.711;;;;;;;;;;
2019-10-02;83.166.711;;;;;;;;;;
2019-10-03;83.166.711;;;;;;;;;;
2019-10-04;83.166.711;;;;;;;;;;
2019-10-05;83.166.711;;;;;;;;;;
2019-10-06;83.166.711;;;;;;;;;;
2019-10-07;83.166.711;;;;;;;;;;
2019-10-08;83.166.711;;;;;;;;;;
2019-10-09;83.166.711;;;;;;;;;;
2019-10-10;83.166.711;;;;;;;;;;
2019-10-11;83.166.711;;;;;;;;;;
2019-10-12;83.166.711;;;;;;;;;;
2019-10-13;83.166.711;;;;;;;;;;
2019-10-14;83.166.711;;;;;;;;;;
2019-10-15;83.166.711;;;;;;;;;;
2019-10-16;83.166.711;;;;;;;;;;
2019-10-17;83.166.711;;;;;;;;;;
2019-10-18;83.166.711;;;;;;;;;;
2019-10-19;83.166.711;;;;;;;;;;
2019-10-20;83.166.711;;;;;;;;;;
2019-10-21;83.166.711;;;;;;;;;;
2019-10-22;83.166.711;;;;;;;;;;
2019-10-23;83.166.711;;;;;;;;;;
2019-10-24;83.166.711;;;;;;;;;;
2019-10-25;83.166.711;;;;;;;;;;
2019-10-26;83.166.711;;;;;;;;;;
2019-10-27;83.166.711;;;;;;;;;;
2019-10-28;83.166.711;;;;;;;;;;
2019-10-29;83.166.711;;;;;;;;;;
2019-10-30;83.166.711;;;;;;;;;;
2019-10-31;83.166.711;;;;;;;;;;
2019-11-01;83.166.711;;;;;;;;;;
2019-11-02;83.166.711;;;;;;;;;;
2019-11-03;83.166.711;;;;;;;;;;
2019-11-04;83.166.711;;;;;;;;;;
2019-11-05;83.166.711;;;;;;;;;;
2019-11-06;83.166.711;;;;;;;;;;
2019-11-07;83.166.711;;;;;;;;;;
2019-11-08;83.166.711;;;;;;;;;;
2019-11-09;83.166.711;;;;;;;;;;
2019-11-10;83.166.711;;;;;;;;;;
2019-11-11;83.166.711;;;;;;;;;;
2019-11-12;83.166.711;;;;;;;;;;
2019-11-13;83.166.711;;;;;;;;;;
2019-11-14;83.166.711;;;;;;;;;;
2019-11-15;83.166.711;;;;;;;;;;
2019-11-16;83.166.711;;;;;;;;;;
2019-11-17;83.166.711;;;;;;;;;;
2019-11-18;83.166.711;;;;;;;;;;
2019-11-19;83.166.711;;;;;;;;;;
2019-11-20;83.166.711;;;;;;;;;;
2019-11-21;83.166.711;;;;;;;;;;
2019-11-22;83.166.711;;;;;;;;;;
2019-11-23;83.166.711;;;;;;;;;;
2019-11-24;83.166.711;;;;;;;;;;
2019-11-25;83.166.711;;;;;;;;;;
2019-11-26;83.166.711;;;;;;;;;;
2019-11-27;83.166.711;;;;;;;;;;
2019-11-28;83.166.711;;;;;;;;;;
2019-11-29;83.166.711;;;;;;;;;;
2019-11-30;83.166.711;;;;;;;;;;
2019-12-01;83.166.711;;;;;;;;;;
2019-12-02;83.166.711;;;;;;;;;;
2019-12-03;83.166.711;;;;;;;;;;
2019-12-04;83.166.711;;;;;;;;;;
2019-12-05;83.166.711;;;;;;;;;;
2019-12-06;83.166.711;;;;;;;;;;
2019-12-07;83.166.711;;;;;;;;;;
2019-12-08;83.166.711;;;;;;;;;;
2019-12-09;83.166.711;;;;;;;;;;
2019-12-10;83.166.711;;;;;;;;;;
2019-12-11;83.166.711;;;;;;;;;;
2019-12-12;83.166.711;;;;;;;;;;
2019-12-13;83.166.711;;;;;;;;;;
2019-12-14;83.166.711;;;;;;;;;;
2019-12-15;83.166.711;;;;;;;;;;
2019-12-16;83.166.711;;;;;;;;;;
2019-12-17;83.166.711;;;;;;;;;;
2019-12-18;83.166.711;;;;;;;;;;
2019-12-19;83.166.711;;;;;;;;;;
2019-12-20;83.166.711;;;;;;;;;;
2019-12-21;83.166.711;;;;;;;;;;
2019-12-22;83.166.711;;;;;;;;;;
2019-12-23;83.166.711;;;;;;;;;;
2019-12-24;83.166.711;;;;;;;;;;
2019-12-25;83.166.711;;;;;;;;;;
2019-12-26;83.166.711;;;;;;;;;;
2019-12-27;83.166.711;;;;;;;;;;
2019-12-28;83.166.711;;;;;;;;;;
2019-12-29;83.166.711;;;;;;;;;;
2019-12-30;83.166.711;;;;;;;;;;
2019-12-31;83.166.711;;;;;;;;;;
2020-01-01;83.155.031;;;;;;;;;;
2020-01-02;83.155.031;;;;;;;;;;
2020-01-03;83.155.031;;;;;;;;;;
2020-01-04;83.155.031;;;;;;;;;;
2020-01-05;83.155.031;;;;;;;;;;
2020-01-06;83.155.031;;;;;;;;;;
2020-01-07;83.155.031;;;;;;;;;;
2020-01-08;83.155.031;;;;;;;;;;
2020-01-09;83.155.031;;;;;;;;;;
2020-01-10;83.155.031;;;;;;;;;;
2020-01-11;83.155.031;;;;;;;;;;
2020-01-12;83.155.031;;;;;;;;;;
2020-01-13;83.155.031;;;;;;;;;;
2020-01-14;83.155.031;;;;;;;;;;
2020-01-15;83.155.031;;;;;;;;;;
2020-01-16;83.155.031;;;;;;;;;;
2020-01-17;83.155.031;;;;;;;;;;
2020-01-18;83.155.031;;;;;;;;;;
2020-01-19;83.155.031;;;;;;;;;;
2020-01-20;83.155.031;;;;;;;;;;
2020-01-21;83.155.031;;;;;;;;;;
2020-01-22;83.155.031;;;;;;;;;;
2020-01-23;83.155.031;;;;;;;;;;
2020-01-24;83.155.031;;;;;;;;;;
2020-01-25;83.155.031;;;;;;;;;;
2020-01-26;83.155.031;;;;;;;;;;
2020-01-27;83.155.031;;;;;;;;;;
2020-01-28;83.155.031;;;;;;;;;;
2020-01-29;83.155.031;;;;;;;;;;
2020-01-30;83.155.031;;;;;;;;;;
2020-01-31;83.155.031;;;;;;;;;;
2020-02-01;83.155.031;;;;;;;;;;
2020-02-02;83.155.031;;;;;;;;;;
2020-02-03;83.155.031;;;;;;;;;;
2020-02-04;83.155.031;;;;;;;;;;
2020-02-05;83.155.031;;;;;;;;;;
2020-02-06;83.155.031;;;;;;;;;;
2020-02-07;83.155.031;;;;;;;;;;
2020-02-08;83.155.031;;;;;;;;;;
2020-02-09;83.155.031;;;;;;;;;;
2020-02-10;83.155.031;;;;;;;;;;
2020-02-11;83.155.031;;;;;;;;;;
2020-02-12;83.155.031;;;;;;;;;;
2020-02-13;83.155.031;;;;;;;;;;
2020-02-14;83.155.031;;;;;;;;;;
2020-02-15;83.155.031;;;;;;;;;;
2020-02-16;83.155.031;;;;;;;;;;
2020-02-17;83.155.031;;;;;;;;;;
2020-02-18;83.155.031;;;;;;;;;;
2020-02-19;83.155.031;;;;;;;;;;
2020-02-20;83.155.031;;;;;;;;;;
2020-02-21;83.155.031;;;;;;;;;;
2020-02-22;83.155.031;;;;;;;;;;
2020-02-23;83.155.031;;;;;;;;;;
2020-02-24;83.155.031;;;;;;;;;;
2020-02-25;83.155.031;;;;;;;;;;
2020-02-26;83.155.031;;;;;;;;;;
2020-02-27;83.155.031;;;;;;;;;;
2020-02-28;83.155.031;;;;;;;;;;
2020-02-29;83.155.031;;;;;;;;;;
2020-03-01;83.155.031;;;;;;;;;;
2020-03-02;83.155.031;;;;;;;;;;
2020-03-03;83.155.031;;;;;;;;;;
2020-03-04;83.155.031;;;;;;;;;;
2020-03-05;83.155.031;;;;;;;;;;
2020-03-06;83.155.031;;;;;;;;;;
2020-03-07;83.155.031;;;;;;;;;;
2020-03-08;83.155.031;;;;;;;;;;
2020-03-09;83.155.031;;;;;;;;;;
2020-03-10;83.155.031;;;;;;;;;;
2020-03-11;83.155.031;;;;;;;;;;
2020-03-12;83.155.031;;;;;;;;;;
2020-03-13;83.155.031;;;;;;;;;;
2020-03-14;83.155.031;;;;;;;;;;
2020-03-15;83.155.031;;;;;;;;;;
2020-03-16;83.155.031;;;;;;;;;;
2020-03-17;83.155.031;;;;;;;;;;
2020-03-18;83.155.031;;;;;;;;;;
2020-03-19;83.155.031;;;;;;;;;;
2020-03-20;83.155.031;;;;;;;;;;
2020-03-21;83.155.031;;;;;;;;;;
2020-03-22;83.155.031;;;;;;;;;;
2020-03-23;83.155.031;;;;;;;;;;
2020-03-24;83.155.031;;;;;;;;;;
2020-03-25;83.155.031;;;;;;;;;;
2020-03-26;83.155.031;;;;;;;;;;
2020-03-27;83.155.031;;;;;;;;;;
2020-03-28;83.155.031;;;;;;;;;;
2020-03-29;83.155.031;;;;;;;;;;
2020-03-30;83.155.031;;;;;;;;;;
2020-03-31;83.155.031;;;;;;;;;;
2020-04-01;83.155.031;;;;;;;;;;
2020-04-02;83.155.031;;;;;;;;;;
2020-04-03;83.155.031;;;;;;;;;;
2020-04-04;83.155.031;;;;;;;;;;
2020-04-05;83.155.031;;;;;;;;;;
2020-04-06;83.155.031;;;;;;;;;;
2020-04-07;83.155.031;;;;;;;;;;
2020-04-08;83.155.031;;;;;;;;;;
2020-04-09;83.155.031;;;;;;;;;;
2020-04-10;83.155.031;;;;;;;;;;
2020-04-11;83.155.031;;;;;;;;;;
2020-04-12;83.155.031;;;;;;;;;;
2020-04-13;83.155.031;;;;;;;;;;
2020-04-14;83.155.031;;;;;;;;;;
2020-04-15;83.155.031;;;;;;;;;;
2020-04-16;83.155.031;;;;;;;;;;
2020-04-17;83.155.031;;;;;;;;;;
2020-04-18;83.155.031;;;;;;;;;;
2020-04-19;83.155.031;;;;;;;;;;
2020-04-20;83.155.031;;;;;;;;;;
2020-04-21;83.155.031;;;;;;;;;;
2020-04-22;83.155.031;;;;;;;;;;
2020-04-23;83.155.031;;;;;;;;;;
2020-04-24;83.155.031;;;;;;;;;;
2020-04-25;83.155.031;;;;;;;;;;
